Reference_Article	Code_Barre	Type_Article	Nom_Article	Dominant	Saison	Genre	Famille	Couleur	Marque	Nom_Fournisseur	Description	Declinaison	TauxTaxe_TVA	PrixVente_TTC	DateApplication_PrixVente	QteEnStock
5012202322007	5012202423063	Homme	Chemise pure soie	Chemise	Stand'Up	Homme			MUTINY TAHITI	KOKOLO	Collection "Stand'Up" – Washing MachineKin_13Chemise Homme Coupe droite Manches courtes - Ouverture boutonsKin_13Pure SoieKin_13L/NAVY	Modèle=Washing Machine:Taille=L:Couleur_Texture=NAVY:Extras=Ouverture boutons	16	12500	01/04/15	10
5012202322007	5012202523060	Homme	Chemise pure soie	Chemise	Stand'Up	Homme			MUTINY TAHITI	KOKOLO	Collection "Stand'Up" – Washing MachineKin_13Chemise Homme Coupe droite Manches courtes - Maille piquéeKin_13Pure SoieKin_13L/NAVY	Modèle=Washing Machine:Taille=L:Couleur_Texture=NAVY:Extras=Maille piquée	16	13500	01/04/15	10
5012202322007	5012202324049	Homme	Chemise pure soie	Chemise	Stand'Up	Homme			MUTINY TAHITI	KOKOLO	Collection "Stand'Up" – Washing MachineKin_13Chemise Homme Coupe droite Manches courtes - Ouverture zippéeKin_13Pure SoieKin_13XL/DEEP HEATHER	Modèle=Washing Machine:Taille=XL:Couleur_Texture=DEEP HEATHER:Extras=Ouverture zippée	16	13200	01/04/15	10
5012202322007	5012202424046	Homme	Chemise pure soie	Chemise	Stand'Up	Homme			MUTINY TAHITI	KOKOLO	Collection "Stand'Up" – Washing MachineKin_13Chemise Homme Coupe droite Manches courtes - Ouverture boutonsKin_13Pure SoieKin_13XL/DEEP HEATHER	Modèle=Washing Machine:Taille=XL:Couleur_Texture=DEEP HEATHER:Extras=Ouverture boutons	16	12700	01/04/15	10
5012202322007	5012202524043	Homme	Chemise pure soie	Chemise	Stand'Up	Homme			MUTINY TAHITI	KOKOLO	Collection "Stand'Up" – Washing MachineKin_13Chemise Homme Coupe droite Manches courtes - Maille piquéeKin_13Pure SoieKin_13XL/DEEP HEATHER	Modèle=Washing Machine:Taille=XL:Couleur_Texture=DEEP HEATHER:Extras=Maille piquée	16	13700	01/04/15	10
5012202322007	5012202324056	Homme	Chemise pure soie	Chemise	Stand'Up	Homme			MUTINY TAHITI	KOKOLO	Collection "Stand'Up" – Washing MachineKin_13Chemise Homme Coupe droite Manches courtes - Ouverture zippéeKin_13Pure SoieKin_13XL/BROWN	Modèle=Washing Machine:Taille=XL:Couleur_Texture=BROWN:Extras=Ouverture zippée	16	13200	01/04/15	10
5012202322007	5012202424053	Homme	Chemise pure soie	Chemise	Stand'Up	Homme			MUTINY TAHITI	KOKOLO	Collection "Stand'Up" – Washing MachineKin_13Chemise Homme Coupe droite Manches courtes - Ouverture boutonsKin_13Pure SoieKin_13XL/BROWN	Modèle=Washing Machine:Taille=XL:Couleur_Texture=BROWN:Extras=Ouverture boutons	16	12700	01/04/15	10
5012202322007	5012202524050	Homme	Chemise pure soie	Chemise	Stand'Up	Homme			MUTINY TAHITI	KOKOLO	Collection "Stand'Up" – Washing MachineKin_13Chemise Homme Coupe droite Manches courtes - Maille piquéeKin_13Pure SoieKin_13XL/BROWN	Modèle=Washing Machine:Taille=XL:Couleur_Texture=BROWN:Extras=Maille piquée	16	13700	01/04/15	10
5012202322007	5012202324063	Homme	Chemise pure soie	Chemise	Stand'Up	Homme			MUTINY TAHITI	KOKOLO	Collection "Stand'Up" – Washing MachineKin_13Chemise Homme Coupe droite Manches courtes - Ouverture zippéeKin_13Pure SoieKin_13XL/NAVY	Modèle=Washing Machine:Taille=XL:Couleur_Texture=NAVY:Extras=Ouverture zippée	16	13200	01/04/15	10
5012202322007	5012202424060	Homme	Chemise pure soie	Chemise	Stand'Up	Homme			MUTINY TAHITI	KOKOLO	Collection "Stand'Up" – Washing MachineKin_13Chemise Homme Coupe droite Manches courtes - Ouverture boutonsKin_13Pure SoieKin_13XL/NAVY	Modèle=Washing Machine:Taille=XL:Couleur_Texture=NAVY:Extras=Ouverture boutons	16	12700	01/04/15	10
5012202322007	5012202524067	Homme	Chemise pure soie	Chemise	Stand'Up	Homme			MUTINY TAHITI	KOKOLO	Collection "Stand'Up" – Washing MachineKin_13Chemise Homme Coupe droite Manches courtes - Maille piquéeKin_13Pure SoieKin_13XL/NAVY	Modèle=Washing Machine:Taille=XL:Couleur_Texture=NAVY:Extras=Maille piquée	16	13700	01/04/15	10
5012202322007	5012203322044	Homme	Chemise pure soie	Chemise	Stand'Up	Homme			MUTINY TAHITI	KOKOLO	Collection "Stand'Up" – Stars LoversKin_13Chemise Homme Coupe droite Manches courtes - Ouverture zippéeKin_13Pure SoieKin_13M/DEEP HEATHER	Modèle=Stars Lovers:Taille=M:Couleur_Texture=DEEP HEATHER:Extras=Ouverture zippée	16	12700	01/04/15	10
5012202322007	5012203422041	Homme	Chemise pure soie	Chemise	Stand'Up	Homme			MUTINY TAHITI	KOKOLO	Collection "Stand'Up" – Stars LoversKin_13Chemise Homme Coupe droite Manches courtes - Ouverture boutonsKin_13Pure SoieKin_13M/DEEP HEATHER	Modèle=Stars Lovers:Taille=M:Couleur_Texture=DEEP HEATHER:Extras=Ouverture boutons	16	12200	01/04/15	10
5012202322007	5012203522048	Homme	Chemise pure soie	Chemise	Stand'Up	Homme			MUTINY TAHITI	KOKOLO	Collection "Stand'Up" – Stars LoversKin_13Chemise Homme Coupe droite Manches courtes - Maille piquéeKin_13Pure SoieKin_13M/DEEP HEATHER	Modèle=Stars Lovers:Taille=M:Couleur_Texture=DEEP HEATHER:Extras=Maille piquée	16	13200	01/04/15	10
5012202322007	5012203322051	Homme	Chemise pure soie	Chemise	Stand'Up	Homme			MUTINY TAHITI	KOKOLO	Collection "Stand'Up" – Stars LoversKin_13Chemise Homme Coupe droite Manches courtes - Ouverture zippéeKin_13Pure SoieKin_13M/BROWN	Modèle=Stars Lovers:Taille=M:Couleur_Texture=BROWN:Extras=Ouverture zippée	16	12700	01/04/15	10
5012202322007	5012203422058	Homme	Chemise pure soie	Chemise	Stand'Up	Homme			MUTINY TAHITI	KOKOLO	Collection "Stand'Up" – Stars LoversKin_13Chemise Homme Coupe droite Manches courtes - Ouverture boutonsKin_13Pure SoieKin_13M/BROWN	Modèle=Stars Lovers:Taille=M:Couleur_Texture=BROWN:Extras=Ouverture boutons	16	12200	01/04/15	10
5012202322007	5012203522055	Homme	Chemise pure soie	Chemise	Stand'Up	Homme			MUTINY TAHITI	KOKOLO	Collection "Stand'Up" – Stars LoversKin_13Chemise Homme Coupe droite Manches courtes - Maille piquéeKin_13Pure SoieKin_13M/BROWN	Modèle=Stars Lovers:Taille=M:Couleur_Texture=BROWN:Extras=Maille piquée	16	13200	01/04/15	10
5012202322007	5012203322068	Homme	Chemise pure soie	Chemise	Stand'Up	Homme			MUTINY TAHITI	KOKOLO	Collection "Stand'Up" – Stars LoversKin_13Chemise Homme Coupe droite Manches courtes - Ouverture zippéeKin_13Pure SoieKin_13M/NAVY	Modèle=Stars Lovers:Taille=M:Couleur_Texture=NAVY:Extras=Ouverture zippée	16	12700	01/04/15	10
5012202322007	5012203422065	Homme	Chemise pure soie	Chemise	Stand'Up	Homme			MUTINY TAHITI	KOKOLO	Collection "Stand'Up" – Stars LoversKin_13Chemise Homme Coupe droite Manches courtes - Ouverture boutonsKin_13Pure SoieKin_13M/NAVY	Modèle=Stars Lovers:Taille=M:Couleur_Texture=NAVY:Extras=Ouverture boutons	16	12200	01/04/15	10
5012202322007	5012203522062	Homme	Chemise pure soie	Chemise	Stand'Up	Homme			MUTINY TAHITI	KOKOLO	Collection "Stand'Up" – Stars LoversKin_13Chemise Homme Coupe droite Manches courtes - Maille piquéeKin_13Pure SoieKin_13M/NAVY	Modèle=Stars Lovers:Taille=M:Couleur_Texture=NAVY:Extras=Maille piquée	16	13200	01/04/15	10
5012202322007	5012203323041	Homme	Chemise pure soie	Chemise	Stand'Up	Homme			MUTINY TAHITI	KOKOLO	Collection "Stand'Up" – Stars LoversKin_13Chemise Homme Coupe droite Manches courtes - Ouverture zippéeKin_13Pure SoieKin_13L/DEEP HEATHER	Modèle=Stars Lovers:Taille=L:Couleur_Texture=DEEP HEATHER:Extras=Ouverture zippée	16	13000	01/04/15	10
5012202322007	5012203423048	Homme	Chemise pure soie	Chemise	Stand'Up	Homme			MUTINY TAHITI	KOKOLO	Collection "Stand'Up" – Stars LoversKin_13Chemise Homme Coupe droite Manches courtes - Ouverture boutonsKin_13Pure SoieKin_13L/DEEP HEATHER	Modèle=Stars Lovers:Taille=L:Couleur_Texture=DEEP HEATHER:Extras=Ouverture boutons	16	12500	01/04/15	10
5012202322007	5012203523045	Homme	Chemise pure soie	Chemise	Stand'Up	Homme			MUTINY TAHITI	KOKOLO	Collection "Stand'Up" – Stars LoversKin_13Chemise Homme Coupe droite Manches courtes - Maille piquéeKin_13Pure SoieKin_13L/DEEP HEATHER	Modèle=Stars Lovers:Taille=L:Couleur_Texture=DEEP HEATHER:Extras=Maille piquée	16	13500	01/04/15	10
5012202322007	5012203323058	Homme	Chemise pure soie	Chemise	Stand'Up	Homme			MUTINY TAHITI	KOKOLO	Collection "Stand'Up" – Stars LoversKin_13Chemise Homme Coupe droite Manches courtes - Ouverture zippéeKin_13Pure SoieKin_13L/BROWN	Modèle=Stars Lovers:Taille=L:Couleur_Texture=BROWN:Extras=Ouverture zippée	16	13000	01/04/15	10
5012202322007	5012203423055	Homme	Chemise pure soie	Chemise	Stand'Up	Homme			MUTINY TAHITI	KOKOLO	Collection "Stand'Up" – Stars LoversKin_13Chemise Homme Coupe droite Manches courtes - Ouverture boutonsKin_13Pure SoieKin_13L/BROWN	Modèle=Stars Lovers:Taille=L:Couleur_Texture=BROWN:Extras=Ouverture boutons	16	12500	01/04/15	10
5012202322007	5012203523052	Homme	Chemise pure soie	Chemise	Stand'Up	Homme			MUTINY TAHITI	KOKOLO	Collection "Stand'Up" – Stars LoversKin_13Chemise Homme Coupe droite Manches courtes - Maille piquéeKin_13Pure SoieKin_13L/BROWN	Modèle=Stars Lovers:Taille=L:Couleur_Texture=BROWN:Extras=Maille piquée	16	13500	01/04/15	10
5012202322007	5012203323065	Homme	Chemise pure soie	Chemise	Stand'Up	Homme			MUTINY TAHITI	KOKOLO	Collection "Stand'Up" – Stars LoversKin_13Chemise Homme Coupe droite Manches courtes - Ouverture zippéeKin_13Pure SoieKin_13L/NAVY	Modèle=Stars Lovers:Taille=L:Couleur_Texture=NAVY:Extras=Ouverture zippée	16	13000	01/04/15	10
5012202322007	5012203423062	Homme	Chemise pure soie	Chemise	Stand'Up	Homme			MUTINY TAHITI	KOKOLO	Collection "Stand'Up" – Stars LoversKin_13Chemise Homme Coupe droite Manches courtes - Ouverture boutonsKin_13Pure SoieKin_13L/NAVY	Modèle=Stars Lovers:Taille=L:Couleur_Texture=NAVY:Extras=Ouverture boutons	16	12500	01/04/15	10
